"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"MTS.by UI Тестирование","Онлайн пополнение без комиссии","Пользователь видит правильные подписи в полях ввода","0","0","1","0","0"
"MTS.by UI Тестирование","Онлайн пополнение без комиссии","Пользователь успешно заполняет форму и переходит к оплате","0","0","1","0","0"
